,number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_loss,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,params_n_iter_no_change,params_tol,state
24,24,-0.5627498861076967,2021-07-13 23:15:59.780100,2021-07-13 23:16:28.976797,0 days 00:00:29.196697,0.9899483943285204,0.6441581575724948,least_squares,88,19,83,14,4.398198925799284e-08,COMPLETE
25,25,-0.5683283184357846,2021-07-13 23:16:28.984833,2021-07-13 23:17:00.812631,0 days 00:00:31.827798,0.4411310076589361,0.8396047313929123,least_squares,176,6,95,18,4.4148890495741744e-10,COMPLETE
26,26,-0.4990537905589387,2021-07-13 23:17:00.815457,2021-07-13 23:17:27.379943,0 days 00:00:26.564486,0.5809997358013613,0.7473398771851352,least_absolute_deviation,157,27,73,7,5.438649493655348e-09,COMPLETE
27,27,-0.5614270190362497,2021-07-13 23:17:27.386281,2021-07-13 23:17:52.881755,0 days 00:00:25.495474,0.8830698650698382,0.924463775854127,least_squares,118,14,84,13,3.0429351426391945e-07,COMPLETE
28,28,-0.5554820415885454,2021-07-13 23:17:52.889334,2021-07-13 23:18:34.108038,0 days 00:00:41.218704,0.7065998897005437,0.557148991422879,least_squares,143,2,56,16,0.0008430401976927385,COMPLETE
29,29,-0.5143586370244633,2021-07-13 23:18:34.111009,2021-07-13 23:19:20.168948,0 days 00:00:46.057939,0.5037084181778911,0.807735924567648,least_absolute_deviation,165,47,87,10,1.1596641716139362e-10,COMPLETE
30,30,-0.5321428501914675,2021-07-13 23:19:20.176660,2021-07-13 23:19:41.792429,0 days 00:00:21.615769,0.7787297846495969,0.4374493368413489,least_squares,195,17,99,9,0.6488568358424271,COMPLETE
31,31,-0.5670431372511366,2021-07-13 23:19:41.795431,2021-07-13 23:20:15.388840,0 days 00:00:33.593409,0.4484504948316392,0.8573616568719513,least_squares,185,4,3,19,3.9598142332709385e-10,COMPLETE
32,32,-0.5679673749604047,2021-07-13 23:20:15.393495,2021-07-13 23:20:41.927836,0 days 00:00:26.534341,0.35980956295515254,0.9986197969691377,least_squares,171,7,94,18,2.410882222058146e-09,COMPLETE
33,33,-0.5697004445429809,2021-07-13 23:20:41.933246,2021-07-13 23:21:10.785661,0 days 00:00:28.852415,0.38359117877148846,0.876661208524334,least_squares,153,8,95,20,4.5757662126818784e-10,COMPLETE
34,34,-0.5335168541547408,2021-07-13 23:21:10.788497,2021-07-13 23:21:43.512346,0 days 00:00:32.723849,0.37375994835041804,0.9090746530468012,least_squares,151,69,79,12,1.3344652556056938e-08,COMPLETE
35,35,-0.5653549081091767,2021-07-13 23:21:43.515083,2021-07-13 23:22:14.526420,0 days 00:00:31.011337,0.2350049919385372,0.7383515736379803,least_squares,91,9,71,20,4.0390740940487385e-09,COMPLETE
36,36,-0.5117219926789736,2021-07-13 23:22:14.533320,2021-07-13 23:23:01.047944,0 days 00:00:46.514624,0.18857963243798775,0.2448911442055473,least_absolute_deviation,123,25,95,16,3.187484674919838e-10,COMPLETE
37,37,-0.5274168498369243,2021-07-13 23:23:01.050658,2021-07-13 23:23:42.308222,0 days 00:00:41.257564,0.29850786359432463,0.8844362100561324,least_squares,143,75,59,19,2.0655942490031285e-08,COMPLETE
38,38,-0.565845650214659,2021-07-13 23:23:42.316099,2021-07-13 23:24:11.551370,0 days 00:00:29.235271,0.4880489586647485,0.6632381747120177,least_squares,160,16,86,17,3.931002926328854e-09,COMPLETE
39,39,-0.5566534894718584,2021-07-13 23:24:11.557363,2021-07-13 23:24:40.140085,0 days 00:00:28.582722,0.6414883745296286,0.771244363439469,least_squares,76,30,45,14,4.001146265100592e-10,COMPLETE
40,40,-0.5504959659470055,2021-07-13 23:24:40.142491,2021-07-13 23:25:02.461148,0 days 00:00:22.318657,0.3909061201019261,0.9783646681403892,least_absolute_deviation,128,6,80,11,1.7706288203332984e-05,COMPLETE
41,41,-0.566778245262866,2021-07-13 23:25:02.469130,2021-07-13 23:25:30.009826,0 days 00:00:27.540696,0.4151322679652035,0.8317651302396268,least_squares,189,7,96,18,5.821863128253792e-10,COMPLETE
42,42,-0.5440204947229977,2021-07-13 23:25:30.017546,2021-07-13 23:26:11.361650,0 days 00:00:41.344104,0.31581123840512426,0.7249674970154303,least_squares,174,57,90,20,1.1695068014582881e-10,COMPLETE
43,43,-0.5704230223216518,2021-07-13 23:26:11.369544,2021-07-13 23:26:42.389500,0 days 00:00:31.019956,0.47948277467623623,0.8348165055551117,least_squares,147,5,100,17,2.0534854533134555e-09,COMPLETE
44,44,-0.5542045538077758,2021-07-13 23:26:42.396891,2021-07-13 23:27:09.432788,0 days 00:00:27.035897,0.5083712013663133,0.9476175323036925,least_squares,146,21,100,15,4.166439613530997e-07,COMPLETE
45,45,-0.570085146053304,2021-07-13 23:27:09.441800,2021-07-13 23:27:52.675090,0 days 00:00:43.233290,0.5697853604574361,0.8048751272708328,least_squares,135,3,87,17,1.786719888973158e-09,COMPLETE
46,46,-0.5307214694999604,2021-07-13 23:27:52.688603,2021-07-13 23:28:40.510930,0 days 00:00:47.822327,0.47946381252008846,0.7919483059597897,least_squares,95,100,88,17,1.488354879836089e-07,COMPLETE
47,47,-0.5576035576524753,2021-07-13 23:28:40.518640,2021-07-13 23:29:19.908583,0 days 00:00:39.389943,0.5547733805781041,0.5673889430658557,least_squares,117,2,77,19,2.7208397485115236e-08,COMPLETE
48,48,-0.5623238214352149,2021-07-13 23:29:19.916741,2021-07-13 23:29:48.418677,0 days 00:00:28.501936,0.057533381115940196,0.7084805003104295,least_squares,136,15,82,16,9.435571210034205e-09,COMPLETE
49,49,-0.55988220368196,2021-07-13 23:29:48.426375,2021-07-13 23:30:15.788186,0 days 00:00:27.361811,0.5927015906221569,0.8912191613085035,least_squares,166,10,94,17,1.3859815886817851e-06,COMPLETE
50,50,-0.5610709991264577,2021-07-13 23:30:15.794494,2021-07-13 23:30:52.192389,0 days 00:00:36.397895,0.3369817384219544,0.6253804880666733,least_squares,153,38,74,19,2.3521490396167398e-09,COMPLETE
51,51,-0.5672099479053934,2021-07-13 23:30:52.199954,2021-07-13 23:31:22.157626,0 days 00:00:29.957672,0.6811374306463023,0.8425072508615926,least_squares,112,5,97,13,2.61094927046399e-10,COMPLETE
52,52,-0.5589259831354665,2021-07-13 23:31:22.163079,2021-07-13 23:31:48.732052,0 days 00:00:26.568973,0.6315691553164183,0.9659177837125016,least_squares,133,12,89,15,2.5998353660044648e-09,COMPLETE
53,53,-0.5709381792073215,2021-07-13 23:31:48.734993,2021-07-13 23:32:26.892197,0 days 00:00:38.157204,0.5394654463857276,0.8865046822519524,least_squares,143,3,92,20,1.123561005761562e-09,COMPLETE
54,54,-0.5624172681264017,2021-07-13 23:32:26.895150,2021-07-13 23:33:13.399878,0 days 00:00:46.504728,0.5348500197922547,0.7883740601472924,least_squares,143,2,86,20,1.0238356615860354e-09,COMPLETE
55,55,-0.5650247170624633,2021-07-13 23:33:13.407158,2021-07-13 23:33:43.531926,0 days 00:00:30.124768,0.4134659494136101,0.8760475548064135,least_squares,126,9,92,19,7.3064761782422066e-09,COMPLETE
